program,threads,steps,size,time(s)
mpi,1,100000,1000,2943.466269
mpi,1,100000,100,416.400007
mpi,1,100000,2000,3657.369837
mpi,1,10000,1000,139.541523
mpi,1,10000,100,4.482736
mpi,1,10000,2000,461.168560
mpi,1,1000,1000,25.538723
mpi,1,1000,100,7.581602
mpi,1,1000,2000,50.563869
mpi,1,100,1000,3.989635
mpi,1,100,100,2.896786
mpi,1,100,2000,5.010596
mpi,16,100000,1000,2169.723719
mpi,16,100000,100,1964.170859
mpi,16,100000,2000,2258.880038
mpi,16,10000,1000,202.535554
mpi,16,10000,100,196.646702
mpi,16,10000,2000,231.055675
mpi,16,1000,1000,20.269761
mpi,16,1000,100,19.716123
mpi,16,1000,2000,23.261205
mpi,16,100,1000,2.505992
mpi,16,100,100,1.970423
mpi,16,100,2000,3.224211
mpi,2,100000,1000,1061.123202
mpi,2,100000,100,1210.932020
mpi,2,100000,2000,3875.080549
mpi,2,10000,1000,313.197835
mpi,2,10000,100,135.053048
mpi,2,10000,2000,424.821106
mpi,2,1000,1000,18.061853
mpi,2,1000,100,14.571342
mpi,2,1000,2000,41.320591
mpi,2,100,1000,1.685424
mpi,2,100,100,1.719441
mpi,2,100,2000,4.803871
mpi,32,100000,1000,2189.300916
mpi,32,100000,100,2151.217754
mpi,32,100000,2000,2368.740818
mpi,32,10000,1000,211.377628
mpi,32,10000,100,218.690582
mpi,32,10000,2000,225.605064
mpi,32,1000,1000,22.283008
mpi,32,1000,100,22.210478
mpi,32,1000,2000,23.601950
mpi,32,100,1000,2.413759
mpi,32,100,100,2.382044
mpi,32,100,2000,3.643041
mpi,4,100000,1000,2139.528428
mpi,4,100000,100,1971.048565
mpi,4,100000,2000,3308.778059
mpi,4,10000,1000,166.946464
mpi,4,10000,100,86.468482
mpi,4,10000,2000,208.080782
mpi,4,1000,1000,27.014699
mpi,4,1000,100,23.815761
mpi,4,1000,2000,38.593652
mpi,4,100,1000,2.762548
mpi,4,100,100,1.938391
mpi,4,100,2000,4.273729
mpi,8,100000,1000,2319.527464
mpi,8,100000,100,2139.601760
mpi,8,100000,2000,2533.610210
mpi,8,10000,1000,182.738353
mpi,8,10000,100,197.842036
mpi,8,10000,2000,271.690014
mpi,8,1000,1000,21.482461
mpi,8,1000,100,19.702065
mpi,8,1000,2000,26.263389
mpi,8,100,1000,2.182294
mpi,8,100,100,1.952055
mpi,8,100,2000,2.853643
serial,1,100000,1000,1100.400000
serial,1,100000,100,10.460000
serial,1,100000,2000,4306.320000
serial,1,10000,1000,109.260000
serial,1,10000,100,1.020000
serial,1,10000,2000,475.380000
serial,1,1000,1000,12.130000
serial,1,1000,100,0.110000
serial,1,1000,2000,47.670000
serial,1,100,1000,1.170000
serial,1,100,100,0.010000
serial,1,100,2000,4.560000
serial,16,100000,1000,1070.200000
serial,16,100000,100,10.180000
serial,16,100000,2000,4305.920000
serial,16,10000,1000,109.290000
serial,16,10000,100,1.020000
serial,16,10000,2000,475.440000
serial,16,1000,1000,12.130000
serial,16,1000,100,0.110000
serial,16,1000,2000,47.650000
serial,16,100,1000,1.130000
serial,16,100,100,0.010000
serial,16,100,2000,4.560000
serial,2,100000,1000,1098.850000
serial,2,100000,100,10.450000
serial,2,100000,2000,4307.570000
serial,2,10000,1000,109.260000
serial,2,10000,100,1.020000
serial,2,10000,2000,475.610000
serial,2,1000,1000,12.400000
serial,2,1000,100,0.100000
serial,2,1000,2000,48.930000
serial,2,100,1000,1.160000
serial,2,100,100,0.010000
serial,2,100,2000,4.630000
serial,32,100000,1000,1070.000000
serial,32,100000,100,10.180000
serial,32,100000,2000,4305.140000
serial,32,10000,1000,109.410000
serial,32,10000,100,1.020000
serial,32,10000,2000,475.720000
serial,32,1000,1000,12.120000
serial,32,1000,100,0.110000
serial,32,1000,2000,47.660000
serial,32,100,1000,1.170000
serial,32,100,100,0.010000
serial,32,100,2000,4.560000
serial,4,100000,1000,1069.950000
serial,4,100000,100,10.180000
serial,4,100000,2000,4427.600000
serial,4,10000,1000,109.310000
serial,4,10000,100,1.040000
serial,4,10000,2000,488.870000
serial,4,1000,1000,12.140000
serial,4,1000,100,0.110000
serial,4,1000,2000,47.610000
serial,4,100,1000,1.170000
serial,4,100,100,0.010000
serial,4,100,2000,4.570000
serial,8,100000,1000,1072.780000
serial,8,100000,100,10.180000
serial,8,100000,2000,4427.240000
serial,8,10000,1000,111.910000
serial,8,10000,100,1.040000
serial,8,10000,2000,475.480000
serial,8,1000,1000,12.410000
serial,8,1000,100,0.100000
serial,8,1000,2000,48.920000
serial,8,100,1000,1.160000
serial,8,100,100,0.010000
serial,8,100,2000,4.630000
