program,threads,steps,size,time(s)
mpi,1,100000,1000,1032.230828
mpi,1,100000,100,435.549522
mpi,1,100000,2000,3552.145823
mpi,1,10000,1000,238.673049
mpi,1,10000,100,43.305682
mpi,1,10000,2000,664.208962
mpi,1,1000,1000,23.921834
mpi,1,1000,100,0.040283
mpi,1,1000,2000,45.920620
mpi,1,100,1000,1.088481
mpi,1,100,100,0.352063
mpi,1,100,2000,1.572309
mpi,16,100000,1000,1312.936554
mpi,16,100000,100,2131.139647
mpi,16,100000,2000,2680.193050
mpi,16,10000,1000,261.268371
mpi,16,10000,100,125.749432
mpi,16,10000,2000,308.587628
mpi,16,1000,1000,14.174616
mpi,16,1000,100,12.736838
mpi,16,1000,2000,18.203696
mpi,16,100,1000,2.423610
mpi,16,100,100,1.208414
mpi,16,100,2000,2.269122
mpi,2,100000,1000,827.461870
mpi,2,100000,100,462.017367
mpi,2,100000,2000,2222.363568
mpi,2,10000,1000,182.097114
mpi,2,10000,100,106.875896
mpi,2,10000,2000,292.077399
mpi,2,1000,1000,15.590559
mpi,2,1000,100,9.330071
mpi,2,1000,2000,42.051455
mpi,2,100,1000,1.408546
mpi,2,100,100,1.193930
mpi,2,100,2000,2.792195
mpi,32,100000,1000,2580.199488
mpi,32,100000,100,2486.491740
mpi,32,100000,2000,2784.960990
mpi,32,10000,1000,247.327821
mpi,32,10000,100,249.951442
mpi,32,10000,2000,281.942451
mpi,32,1000,1000,26.447177
mpi,32,1000,100,22.990341
mpi,32,1000,2000,29.037080
mpi,32,100,1000,2.518184
mpi,32,100,100,2.191669
mpi,32,100,2000,2.955764
mpi,4,100000,1000,1499.362930
mpi,4,100000,100,1068.874452
mpi,4,100000,2000,2122.273913
mpi,4,10000,1000,141.272536
mpi,4,10000,100,87.500018
mpi,4,10000,2000,243.954403
mpi,4,1000,1000,16.099064
mpi,4,1000,100,10.899562
mpi,4,1000,2000,25.263178
mpi,4,100,1000,0.722346
mpi,4,100,100,0.431035
mpi,4,100,2000,2.284997
mpi,8,100000,1000,1843.369604
mpi,8,100000,100,1151.293352
mpi,8,100000,2000,2109.130237
mpi,8,10000,1000,142.096423
mpi,8,10000,100,111.803334
mpi,8,10000,2000,163.300612
mpi,8,1000,1000,14.315043
mpi,8,1000,100,11.981722
mpi,8,1000,2000,21.315422
mpi,8,100,1000,1.572783
mpi,8,100,100,1.154905
mpi,8,100,2000,2.361494
serial,1,100,100,0.01
serial,1,1000,100,0.11
serial,1,10000,100,1.02
serial,1,100000,100,10.18
serial,1,100,1000,1.34
serial,1,1000,1000,12.37
serial,1,10000,1000,109.6
serial,1,100000,1000,1072.98
serial,1,100,2000,5.33
serial,1,1000,2000,48.66
serial,1,10000,2000,476.73
serial,1,100000,2000,4310.41
omp,1,100000,1000,1331.956969
omp,1,100000,100,12.819621
omp,1,100000,2000,5374.222172
omp,1,10000,1000,135.606736
omp,1,10000,100,1.296468
omp,1,10000,2000,583.125790
omp,1,1000,1000,14.936403
omp,1,1000,100,0.151429
omp,1,1000,2000,59.242891
omp,1,100,1000,1.667607
omp,1,100,100,0.023784
omp,1,100,2000,6.344592
omp,2,100000,1000,687.403504
omp,2,100000,100,6.752710
omp,2,100000,2000,2820.720803
omp,2,10000,1000,70.097145
omp,2,10000,100,0.691538
omp,2,10000,2000,300.843573
omp,2,1000,1000,7.899948
omp,2,1000,100,0.080760
omp,2,1000,2000,31.113219
omp,2,100,1000,1.007961
omp,2,100,100,0.014906
omp,2,100,2000,3.766311
omp,4,100000,1000,358.492834
omp,4,100000,100,3.657432
omp,4,100000,2000,1440.691108
omp,4,10000,1000,36.682470
omp,4,10000,100,0.375628
omp,4,10000,2000,157.136858
omp,4,1000,1000,4.287486
omp,4,1000,100,0.047042
omp,4,1000,2000,16.738927
omp,4,100,1000,0.621634
omp,4,100,100,0.010339
omp,4,100,2000,2.432052
omp,8,100000,1000,377.120077
omp,8,100000,100,7.254863
omp,8,100000,2000,1493.628449
omp,8,10000,1000,39.480683
omp,8,10000,100,0.765333
omp,8,10000,2000,166.913589
omp,8,1000,1000,4.538504
omp,8,1000,100,0.086150
omp,8,1000,2000,17.468413
omp,8,100,1000,0.670591
omp,8,100,100,0.015886
omp,8,100,2000,2.452237
